# Datos tomados del Manual de la asignatura (100 piezas)
Diam1  Diam2
32.194 32.224
32.223 32.207
32.207 32.225
32.239 32.185
32.205 32.179
32.203 32.218
32.216 32.191
32.207 32.219
32.196 32.181
32.216 32.197
32.196 32.208
32.174 32.191
32.193 32.221
32.197 32.205
32.197 32.188
32.182 32.210
32.203 32.193
32.216 32.208
32.196 32.205
32.205 32.211
32.191 32.203
32.196 32.179
32.204 32.216
32.202 32.177
32.183 32.203
32.209 32.216
32.191 32.180
32.189 32.214
32.230 32.187
32.220 32.207
32.205 32.167
32.195 32.189
32.181 32.203
32.206 32.213
32.193 32.188
32.206 32.199
32.169 32.202
32.219 32.224
32.195 32.196
32.225 32.224
32.187 32.227
32.201 32.208
32.195 32.204
32.196 32.199
32.197 32.190
32.186 32.197
32.207 32.199
32.225 32.219
32.169 32.184
32.215 32.195
