Comunidades autónomas;Tipo de indicador;Total
Andalucía;Gasto en I+D interna (%);6,4
Aragón;Gasto en I+D interna (%);2,3
Asturias, Principado de;Gasto en I+D interna (%);1,3
Balears, Illes;Gasto en I+D interna (%);0,5
Canarias;Gasto en I+D interna (%);0,5
Cantabria;Gasto en I+D interna (%);0,5
Castilla y León;Gasto en I+D interna (%);6,0
Castilla - La Mancha;Gasto en I+D interna (%);1,7
Cataluña;Gasto en I+D interna (%);24,6
Comunitat Valenciana;Gasto en I+D interna (%);6,9
Extremadura;Gasto en I+D interna (%);0,4
Galicia;Gasto en I+D interna (%);3,8
Madrid, Comunidad de;Gasto en I+D interna (%);27,4
Murcia, Región de;Gasto en I+D interna (%);1,8
Navarra, Comunidad Foral de;Gasto en I+D interna (%);2,7
País Vasco;Gasto en I+D interna (%);12,9
Rioja, La;Gasto en I+D interna (%);0,4
Ceuta;Gasto en I+D interna (%);..
Melilla;Gasto en I+D interna (%);..
