root@459c7d1c7c67:/app/OutputData# for file in `ls`; do echo -e "\n\nCat $file\n"; cat $file; done


Cat don-quixote.txt.csv

Char  Count      Encoding
----- ---------- ----------------
0x65      203420 000
0x73      103542 0010
0x69      105015 0011
0x70       23058 010000
0x3B        5897 01000100
0x4C        1566 0100010100
0x71        1643 0100010101
0x27        3312 010001011
0x41        3405 010001100
0x4E        1728 0100011010
0x7A         877 01000110110
0x3F         946 01000110111
0x2E        7263 01000111
0x6C       61073 01001
0x6E      115234 0101
0x68      116440 0110
0x79       30950 011100
0x67       30967 011101
0x52        1840 0111100000
0x43        1926 0111100001
0x78        3776 011110001
0x56         424 011110010000
0x4B         226 0111100100010
0x5A         153 01111001000110
0x30           1 011110010001110000
0x32           1 011110010001110001
0x34           1 011110010001110010
0x36           1 011110010001110011
0x3D           3 01111001000111010
EOF            1 011110010001110110
0x31           2 011110010001110111
0x4A         148 011110010001111
0x46        1032 01111001001
0x4F        2002 0111100101
0x2D        2034 0111100110
0x42        1061 01111001110
0x50        1101 01111001111
0x76       16978 0111101
0x2C       35089 011111
0x6F      135737 1000
0x61      136535 1001
0x64       73032 10100
0x63       36092 101010
0x53        4269 101011000
0x44        4285 101011001
0x49        8845 10101101
0x51        2295 1010111000
0x55         556 101011100100
0x21         651 101011100101
0x47        1256 10101110011
0x54        4859 101011101
0x22       10172 10101111
0x74      153873 1011
0x77       37223 110000
0x0A       37420 110001
0x66       37875 110010
0x6D       41865 110011
0x48        2532 1101000000
0x6A        1310 11010000010
0x57        1329 11010000011
0x45        2778 1101000010
0x4D        1396 11010000110
0x59         318 1101000011100
0x3A         333 1101000011101
0x28         184 11010000111100
0x29         184 11010000111101
0x58         398 1101000011111
0x6B       11613 11010001
0x62       22745 1101001
0x75       46428 110101
0x72       91557 11011
0x20      372706 111


Cat ecoli.fa.csv

Char  Count      Encoding
----- ---------- ----------------
0x41      964054 00
0x43      981618 01
0x34        2338 1000000
0x30        1329 10000010
0x32        1422 10000011
0x37        5440 100001
0x38        1462 10001000
0x31        1470 10001001
0x4F          26 100010100000
EOF            1 100010100001000
0x56           2 100010100001001
0x45           1 1000101000010100
0x48           1 1000101000010101
0x4E           1 1000101000010110
0x57           1 1000101000010111
0x50          19 1000101000011
0x42          62 10001010001
0x44          69 10001010010
0x59         102 10001010011
0x39        1263 100010101
0x36        2128 10001011
0x3E        4239 1000110
0x33        2170 10001110
0x35        2173 10001111
0x0A       72530 1001
0x54      956787 101
0x47     1088502 11


Cat imagen_1.raw.csv

Char  Count      Encoding
----- ---------- ----------------
0xFB          22 0000000
0xFD          22 0000001
0x4B          11 00000100
0x51          11 00000101
0x58          11 00000110
0x5C          11 00000111
0xA1          11 00001000
0xB8          11 00001001
0xBD          11 00001010
0xDB          11 00001011
0xF7          11 00001100
EOF            1 0000110100
0x24           4 0000110101
0xB9           6 000011011
0x43          23 0000111
0x5F          23 0001000
0x3F          24 0001001
0x9C          24 0001010
0xCF          24 0001011
0x3E          12 00011000
0x7A          12 00011001
0x92          12 00011010
0x97          12 00011011
0xA4          12 00011100
0xAA          12 00011101
0xC8          12 00011110
0xD9          12 00011111
0xDA          24 0010000
0x29          12 00100010
0x30          12 00100011
0xFE          12 00100100
0xFF          12 00100101
0x31          25 0010011
0x88          25 0010100
0xC2          25 0010101
0x00          13 00101100
0x03          13 00101101
0x11          13 00101110
0x19          13 00101111
0x1D          13 00110000
0x25          13 00110001
0x26          13 00110010
0x3D          13 00110011
0x40          13 00110100
0x49          13 00110101
0x4C          13 00110110
0x62          13 00110111
0x8C          13 00111000
0x91          13 00111001
0x96          13 00111010
0x9B          13 00111011
0xA9          13 00111100
0xC0          13 00111101
0xDE          13 00111110
0xEE          13 00111111
0xF3          13 01000000
0xF4          13 01000001
0xB6          27 0100001
0x32          14 01000100
0x33          14 01000101
0x36          14 01000110
0x3A          14 01000111
0x5D          14 01001000
0x67          14 01001001
0x70          14 01001010
0x73          14 01001011
0x74          14 01001100
0x75          14 01001101
0x94          14 01001110
0x98          14 01001111
0x7B          28 0101000
0x04          14 01010010
0x0C          14 01010011
0x9A          14 01010100
0xB0          14 01010101
0xD4          14 01010110
0xDF          14 01010111
0xEF          14 01011000
0xF1          14 01011001
0x39          29 0101101
0x64           7 010111000
0xCE           7 010111001
0x01          15 01011101
0x0E          15 01011110
0x2D          15 01011111
0x37          15 01100000
0x42          15 01100001
0x53          15 01100010
0x55          15 01100011
0x60          15 01100100
0x6F          15 01100101
0x84          15 01100110
0x8D          15 01100111
0xA2          15 01101000
0xA8          15 01101001
0xAD          15 01101010
0xAE          15 01101011
0xAF          15 01101100
0xB4          15 01101101
0xC4          15 01101110
0xC7          15 01101111
0xC9          15 01110000
0xCC          15 01110001
0xDC          15 01110010
0xE8          15 01110011
0xF8          15 01110100
0xFA           7 011101010
0x0A           8 011101011
0x0B          16 01110110
0x12          16 01110111
0x1B          16 01111000
0x1E          16 01111001
0x20          16 01111010
0x28          16 01111011
0x2F          16 01111100
0x34          16 01111101
0x44          16 01111110
0x54          16 01111111
0x59          16 10000000
0x87          16 10000001
0x8B          16 10000010
0x99          16 10000011
0xA0          16 10000100
0xA6          16 10000101
0xB3          16 10000110
0xB7          16 10000111
0xBB          16 10001000
0xBC          16 10001001
0xC1          16 10001010
0xD3          16 10001011
0xE0          16 10001100
0xE4          16 10001101
0xF5          16 10001110
0x52           8 100011110
0x5B           8 100011111
0x78           8 100100000
0xBF           8 100100001
0x05          17 10010001
0x06          17 10010010
0x09          17 10010011
0x17          17 10010100
0x1A          17 10010101
0x21          17 10010110
0x45          17 10010111
0x46          17 10011000
0x47          17 10011001
0x48          17 10011010
0x56          17 10011011
0x68          17 10011100
0x6A          17 10011101
0x7C          17 10011110
0x83          17 10011111
0x8A          17 10100000
0x8F          17 10100001
0xBE          17 10100010
0xD2          17 10100011
0xD7          17 10100100
0xDD          17 10100101
0xE5          17 10100110
0xE6          17 10100111
0xEA          17 10101000
0xF0          17 10101001
0xF2          17 10101010
0x08          18 10101011
0x13          18 10101100
0x23          18 10101101
0x2C          18 10101110
0x4E          18 10101111
0x61          18 10110000
0x66          18 10110001
0x6E          18 10110010
0x71          18 10110011
0x76          18 10110100
0x90          18 10110101
0x9D          18 10110110
0x9F          18 10110111
0xA7          18 10111000
0xD8          18 10111001
0xE1          18 10111010
0xE2          18 10111011
0xE3          18 10111100
0xE9          18 10111101
0x38           9 101111100
0x65           9 101111101
0x69           9 101111110
0x81           9 101111111
0x95           9 110000000
0x9E           9 110000001
0xB5           9 110000010
0xD0           9 110000011
0xE7           9 110000100
0xFC           9 110000101
0x07          19 11000011
0x14          19 11000100
0x18          19 11000101
0x1C          19 11000110
0x41          19 11000111
0x4A          19 11001000
0x5A          19 11001001
0x5E          19 11001010
0x6C          19 11001011
0x79          19 11001100
0x7D          19 11001101
0x7F          19 11001110
0x85          19 11001111
0x86          19 11010000
0x93          19 11010001
0xA3          19 11010010
0xEC          19 11010011
0xED          19 11010100
0xF6          19 11010101
0x02          20 11010110
0x0D          20 11010111
0x16          20 11011000
0x1F          20 11011001
0x2B          20 11011010
0x3C          20 11011011
0x4F          20 11011100
0x50          20 11011101
0x6D          20 11011110
0x82          20 11011111
0x89          20 11100000
0xAB          20 11100001
0xBA          20 11100010
0xC3          20 11100011
0xCB          20 11100100
0xD1          20 11100101
0x0F          10 111001100
0x15          10 111001101
0x22          10 111001110
0x57          10 111001111
0x6B          10 111010000
0x7E          10 111010001
0x27          21 11101001
0x2E          21 11101010
0x3B          21 11101011
0x77          21 11101100
0xAC          21 11101101
0xB1          21 11101110
0xC6          21 11101111
0xCA          21 11110000
0xD5          21 11110001
0xC5          10 111100100
0x2A          11 111100101
0x10          22 11110011
0x35          22 11110100
0x4D          22 11110101
0x63          22 11110110
0x72          22 11110111
0x80          22 11111000
0x8E          22 11111001
0xA5          22 11111010
0xB2          22 11111011
0xCD          22 11111100
0xD6          22 11111101
0xEB          22 11111110
0xF9          22 11111111


Cat imagen_2.raw.csv

Char  Count      Encoding
----- ---------- ----------------
0xC8        2048 0
EOF            1 10
0x64        2048 11


Cat imagen_3.raw.csv

Char  Count      Encoding
----- ---------- ----------------
EOF            1 000
0x00         256 001
0xC8        1536 01
0x64        2304 1


Cat imagen_4.raw.csv

Char  Count      Encoding
----- ---------- ----------------
0x96        1536 0
EOF            1 1000
0x00         256 1001
0xFA         768 101
0x32        1536 11


Cat imagen_5.raw.csv

Char  Count      Encoding
----- ---------- ----------------
0xBF         816 00
0x00         841 01
0x3F         862 10
EOF            1 1100
0x7F         776 1101
0xFF         801 111


Cat imagen_6.raw.csv

Char  Count      Encoding
----- ---------- ----------------
0x55         101 00000
0xEB         101 00001
0x13         102 00010
0xD7         102 00011
0xDE         102 00100
0xF1         102 00101
0x8F         103 00110
0x96         103 00111
0x34         104 01000
0x00         106 01001
0x20         106 01010
0x5B         106 01011
0xCA         108 01100
0x9C         110 01101
0x1A         111 01110
0x41         111 01111
0x6F         112 10000
0x82         112 10001
0x47         113 10010
0x89         113 10011
0xB0         117 10100
0xBD         119 10101
0xC4         124 10110
0x4E         125 10111
EOF            1 1100000
0xFF          84 1100001
0x2D          87 110001
0xB7          87 110010
0xE4          88 110011
0x68          91 110100
0xF8          92 110101
0xA3          93 110110
0x27          94 110111
0xD1          94 111000
0x0D          95 111001
0x62          95 111010
0x06          96 111011
0x75          96 111100
0xAA          96 111101
0x7C          97 111110
0x3A          98 111111
